"team_selection1","team_position","team_name","team_points","team_played","team_win","team_draw","team_loss","team_goals_for","team_goals_against"
"1972–73 Bundesliga","5","Borussia Mönchengladbach","39","34","17","5","12","82","61"
"1972–73 Bundesliga","6","VfB Stuttgart","37","34","17","3","14","71","65"
"1972–73 Bundesliga","7","Kickers Offenbach","35","34","14","7","13","61","60"
"1972–73 Bundesliga","8","Eintracht Frankfurt","34","34","15","4","15","58","54"
"1972–73 Bundesliga","9","1. FC Kaiserslautern","34","34","12","10","12","58","68"
"1972–73 Bundesliga","10","MSV Duisburg","33","34","12","9","13","53","54"
"1972–73 Bundesliga","11","Werder Bremen","31","34","12","7","15","50","52"
"1972–73 Bundesliga","12","VfL Bochum","31","34","11","9","14","50","68"
"1972–73 Bundesliga","13","Hertha BSC","30","34","11","8","15","53","64"
"1972–73 Bundesliga","14","Hamburger SV","28","34","10","8","16","53","59"
"1972–73 Bundesliga","15","Schalke 04","28","34","10","8","16","46","61"
"1972–73 Bundesliga","16","Hannover 96","26","34","9","8","17","49","65"
"1972–73 Bundesliga","17","Eintracht Braunschweig","25","34","9","7","18","33","56"
"1972–73 Bundesliga","18","Rot-Weiß Oberhausen","22","34","9","4","21","45","84"
"1973–74 Bundesliga","1","Bayern Munich","49","34","20","9","5","95","53"
"1973–74 Bundesliga","2","Borussia Mönchengladbach","48","34","21","6","7","93","52"
"1973–74 Bundesliga","3","Fortuna Düsseldorf","41","34","16","9","9","61","47"
"1973–74 Bundesliga","4","Eintracht Frankfurt","41","34","15","11","8","63","50"
"1973–74 Bundesliga","5","1. FC Köln","39","34","16","7","11","69","56"
"1973–74 Bundesliga","6","1. FC Kaiserslautern","38","34","15","8","11","80","69"
"1973–74 Bundesliga","7","Schalke 04","37","34","16","5","13","72","68"
"1973–74 Bundesliga","8","Hertha BSC","33","34","11","11","12","56","60"
"1973–74 Bundesliga","9","VfB Stuttgart","31","34","12","7","15","58","57"
"1973–74 Bundesliga","10","Kickers Offenbach","31","34","11","9","14","56","62"
"1973–74 Bundesliga","11","Werder Bremen","31","34","9","13","12","48","56"
"1973–74 Bundesliga","12","Hamburger SV","31","34","13","5","16","53","62"
"1973–74 Bundesliga","13","Rot-Weiss Essen","31","34","10","11","13","56","70"
"1973–74 Bundesliga","14","VfL Bochum","30","34","9","12","13","45","57"
"1973–74 Bundesliga","15","MSV Duisburg","29","34","11","7","16","42","56"
"1973–74 Bundesliga","16","Wuppertaler SV","25","34","8","9","17","42","65"
"1973–74 Bundesliga","17","Fortuna Köln","25","34","8","9","17","46","79"
"1973–74 Bundesliga","18","Hannover 96","22","34","6","10","18","50","66"
"1974–75 Bundesliga","1","Borussia Mönchengladbach","50","34","21","8","5","86","40"
"1974–75 Bundesliga","2","Hertha BSC","44","34","19","6","9","61","43"
"1974–75 Bundesliga","3","Eintracht Frankfurt","43","34","18","7","9","89","49"
"1974–75 Bundesliga","4","Hamburger SV","43","34","18","7","9","55","38"
"1974–75 Bundesliga","5","1. FC Köln","41","34","17","7","10","77","51"
"1974–75 Bundesliga","6","Fortuna Düsseldorf","41","34","16","9","9","66","55"
"1974–75 Bundesliga","7","Schalke 04","39","34","16","7","11","52","37"
"1974–75 Bundesliga","8","Kickers Offenbach","38","34","17","4","13","72","62"
"1974–75 Bundesliga","9","Eintracht Braunschweig","36","34","14","8","12","52","42"
"1974–75 Bundesliga","10","Bayern Munich","34","34","14","6","14","57","63"
"1974–75 Bundesliga","11","VfL Bochum","33","34","14","5","15","53","53"
"1974–75 Bundesliga","12","Rot-Weiss Essen","32","34","10","12","12","56","68"
"1974–75 Bundesliga","13","1. FC Kaiserslautern","31","34","13","5","16","56","55"
"1974–75 Bundesliga","14","MSV Duisburg","30","34","12","6","16","59","77"
"1974–75 Bundesliga","15","Werder Bremen","25","34","9","7","18","45","69"
"1974–75 Bundesliga","16","VfB Stuttgart","24","34","8","8","18","50","79"
"1974–75 Bundesliga","17","Tennis Borussia Berlin","16","34","5","6","23","38","89"
"1974–75 Bundesliga","18","Wuppertaler SV","12","34","2","8","24","32","86"
"1975–76 Bundesliga","1","Borussia Mönchengladbach","45","34","16","13","5","66","37"
"1975–76 Bundesliga","2","Hamburger SV","41","34","17","7","10","59","32"
"1975–76 Bundesliga","3","Bayern Munich","40","34","15","10","9","72","50"
