season,position,club,points,played,win,draw,loss,GF,GA,GD,city
1976–77,11,Werder Bremen,33,34,13,7,14,51,59,-8,Bremen
1976–77,12,Fortuna Düsseldorf,31,34,11,9,14,52,54,-2,Düsseldorf
1976–77,13,1. FC Kaiserslautern,29,34,12,5,17,53,59,-6,Kaiserslautern
1976–77,14,1. FC Saarbrücken,29,34,9,11,14,43,55,-12,Saarbrücken
1976–77,15,VfL Bochum,29,34,11,7,16,47,62,-15,Bochum
1976–77,16,Karlsruher SC,28,34,9,10,15,53,75,-22,Karlsruhe
1976–77,17,Tennis Borussia Berlin,22,34,6,10,18,47,85,-38,Berlin
1976–77,18,Rot-Weiss Essen,22,34,7,8,19,49,103,-54,Essen
1977–78,1,1. FC Köln,48,34,22,4,8,86,41,45,Cologne
1977–78,2,Borussia Mönchengladbach,48,34,20,8,6,86,44,42,Mönchengladbach
1977–78,3,Hertha BSC,40,34,15,10,9,59,48,11,Berlin
1977–78,4,VfB Stuttgart,39,34,17,5,12,58,40,18,Stuttgart
1977–78,5,Fortuna Düsseldorf,39,34,15,9,10,49,36,13,Düsseldorf
1977–78,6,MSV Duisburg,37,34,15,7,12,62,59,3,Duisburg
1977–78,7,Eintracht Frankfurt,36,34,16,4,14,59,52,7,Frankfurt
1977–78,8,1. FC Kaiserslautern,36,34,16,4,14,64,63,1,Kaiserslautern
1977–78,9,FC Schalke 04,34,34,14,6,14,47,52,-5,Gelsenkirchen
1977–78,10,Hamburger SV,34,34,14,6,14,61,67,-6,Hamburg
1977–78,11,Borussia Dortmund,33,34,14,5,15,57,71,-14,Dortmund
1977–78,12,FC Bayern Munich,32,34,11,10,13,62,64,-2,Munich
1977–78,13,Eintracht Braunschweig,32,34,14,4,16,43,53,-10,Braunschweig
1977–78,14,VfL Bochum,31,34,11,9,14,49,51,-2,Bochum
1977–78,15,Werder Bremen,31,34,13,5,16,48,57,-9,Bremen
1977–78,16,TSV 1860 Munich,22,34,7,8,19,41,60,-19,Munich
1977–78,17,1. FC Saarbrücken,22,34,6,10,18,39,70,-31,Saarbrücken
1977–78,18,FC St. Pauli,18,34,6,6,22,44,86,-42,Hamburg
1978–79,1,Hamburger SV,49,34,21,7,6,78,32,46,Hamburg
1978–79,2,VfB Stuttgart,48,34,20,8,6,73,34,39,Stuttgart
1978–79,3,1. FC Kaiserslautern,43,34,16,11,7,62,47,15,Kaiserslautern
1978–79,4,FC Bayern Munich,40,34,16,8,10,69,46,23,Munich
1978–79,5,Eintracht Frankfurt,39,34,16,7,11,50,49,1,Frankfurt
1978–79,6,1. FC Köln,38,34,13,12,9,55,47,8,Cologne
1978–79,7,Fortuna Düsseldorf,37,34,13,11,10,70,59,11,Düsseldorf
1978–79,8,VfL Bochum,33,34,10,13,11,47,46,1,Bochum
1978–79,9,Eintracht Braunschweig,33,34,10,13,11,50,55,-5,Braunschweig
1978–79,10,Borussia Mönchengladbach,32,34,12,8,14,50,53,-3,Mönchengladbach
1978–79,11,Werder Bremen,31,34,10,11,13,48,60,-12,Bremen
1978–79,12,Borussia Dortmund,31,34,10,11,13,54,70,-16,Dortmund
1978–79,13,MSV Duisburg,30,34,12,6,16,43,56,-13,Duisburg
1978–79,14,Hertha BSC,29,34,9,11,14,40,50,-10,Berlin
1978–79,15,FC Schalke 04,28,34,9,10,15,55,61,-6,Gelsenkirchen
1978–79,16,Arminia Bielefeld,26,34,9,8,17,43,56,-13,Bielefeld
1978–79,17,1. FC Nürnberg,24,34,8,8,18,36,67,-31,Nuremberg
1978–79,18,SV Darmstadt 98,21,34,7,7,20,40,75,-35,Darmstadt
1979–80,1,FC Bayern Munich,50,34,22,6,6,84,33,51,Munich
1979–80,2,Hamburger SV,48,34,20,8,6,86,35,51,Hamburg
1979–80,3,VfB Stuttgart,41,34,18,5,11,75,53,22,Stuttgart
1979–80,4,1. FC Kaiserslautern,41,34,17,7,10,75,53,22,Kaiserslautern
1979–80,5,1. FC Köln,37,34,14,9,11,72,55,17,Cologne
1979–80,6,Borussia Dortmund,36,34,14,8,12,64,56,8,Dortmund
1979–80,7,Borussia Mönchengladbach,36,34,12,12,10,61,60,1,Mönchengladbach
1979–80,8,FC Schalke 04,33,34,12,9,13,40,51,-11,Gelsenkirchen
1979–80,9,Eintracht Frankfurt,32,34,15,2,17,65,61,4,Frankfurt
